COUNTY_CODE,TASK_CATEGORY,TASK_CAT_CODE,TASK_TYPE_CODE,TASK_TYPE,TASK_SUBTYPE,PROGRAM_CODE,AUTOMATED_MANUAL,SYS_TASK_IND,AVAIL_AUTO_IND,AVAIL_ONLINE_IND,USE_IND,STAT_CODE,STATUS_DECODE,TOTAL_TASK_COUNT,CREATED_COUNT,COMPLETED_COUNT,CLEARED_COMPLETED_VOIDED_EXPIRED_COUNT,MANUAL_COUNT,AUTOMATED_COUNT,OVERDUE_COUNT,NO_WORKER_COUNT,EXAMPLE_CASE_NUMBER,EXAMPLE_TASK_ID
36,Legacy,LC,84,Images Awaiting Review,No Subtype,MC,Manual,N,Y,Y,Y,AS,Assigned,269676,49919,0,0,269676,0,261382,0,0016728,581431151
36,Legacy,LC,84,Images Awaiting Review,No Subtype,CF,Manual,N,Y,Y,Y,AS,Assigned,63109,27598,0,0,63109,0,57405,0,0016728,605442100
36,Legacy,LC,84,Images Awaiting Review,No Subtype,MC,Manual,N,Y,Y,Y,CO,Completed,68641,25724,68641,68641,68641,0,57304,0,0019058,581761796
36,Legacy,LC,84,Images Awaiting Review,No Subtype,CF,Manual,N,Y,Y,Y,CO,Completed,49290,25539,49290,49290,49290,0,38459,0,0019058,607801205
36,Legacy,LC,66,Report,Applicant IEVS,CF,Manual,N,Y,N,Y,AS,Assigned,88345,20007,0,0,88345,0,76517,0,0016728,572587513
36,Legacy,LC,,Returned Mail,No Subtype,MC,Manual,N,Y,Y,Y,AS,Assigned,110207,15452,0,0,110207,0,109383,0,0057558,592891269
36,Legacy,LC,84,Images Awaiting Review,No Subtype,CW,Manual,N,Y,Y,Y,AS,Assigned,20939,11348,0,0,20939,0,18506,0,0193109,1067238347
36,Legacy,LC,84,Images Awaiting Review,No Subtype,CW,Manual,N,Y,Y,Y,CO,Completed,20468,11053,20468,20468,20468,0,15506,0,0250999,1216480073
36,Legacy,LC,84,Images Awaiting Review,No Subtype,WT,Manual,N,Y,Y,Y,CO,Completed,15169,10770,15169,15169,15169,0,9466,0,0366914,1182505811
36,Legacy,LC,66,Report,Applicant IEVS,MC,Manual,N,Y,N,Y,AS,Assigned,81738,10180,0,0,81738,0,78144,0,0065995,571832990
36,Legacy,LC,66,Report,Applicant IEVS,CF,Manual,N,Y,N,Y,CO,Completed,28708,9113,28708,28708,28708,0,20297,0,0071912,583998977
36,Legacy,LC,,Returned Mail,No Subtype,CF,Manual,N,Y,Y,Y,AS,Assigned,46585,8511,0,0,46585,0,46068,0,0047989,594462321
36,Legacy,LC,68,Review,No Subtype,WT,Manual,N,Y,Y,Y,CO,Completed,12135,7604,12135,12135,12135,0,8815,0,0366914,1038033699
36,Legacy,LC,12,Batch Eligibility,No Subtype,CF,Manual,N,Y,N,Y,AS,Assigned,14829,7507,0,0,14829,0,14828,0,0100779,610654828
